Activity	mean	median	variance	distance	diff	sign	levels	trend	distance2	distance
discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous
class										
Empty-2	-53.9907407407	-53.7722222222	0.882964050459	0.916666666667	0.7	1.0	13	3.0	1.19152528731	0.916666666667
Empty-2	-53.8740740741	-53.7722222222	1.01326185583	0.983333333333	-1.7	-1.0	15	1.0	1.2568741028	0.983333333333
Empty-2	-53.6574074074	-53.2722222222	1.01729286524	0.866666666667	-2.4	-1.0	13	1.0	1.18521412002	0.866666666667
Empty-2	-53.1851851852	-53.1	0.533456775838	0.538888888889	-0.433333333333	-1.0	12	1.0	0.68994840864	0.538888888889
Empty-2	-53.1685185185	-53.05	0.538191606922	0.537037037037	-0.444444444444	-1.0	12	1.0	0.689038215596	0.537037037037
Empty-2	-53.0444444444	-52.85	0.547587300667	0.477777777778	-1.4	-1.0	11	-1.0	0.646643756753	0.477777777778
Empty-2	-52.8111111111	-52.7	0.188168561156	0.244444444444	0.0	0.0	10	0.0	0.302459057529	0.244444444444
Empty-2	-52.8611111111	-52.85	0.19254629073	0.227777777778	-0.1	-1.0	7	0.0	0.282515158558	0.227777777778
Empty-2	-52.7777777778	-52.7	0.175962959065	0.222222222222	-0.0666666666667	-1.0	5	0.0	0.27419917065	0.222222222222
Empty-2	-52.8333333333	-52.85	0.18618986725	0.233333333333	0.0	0.0	5	0.0	0.288675134595	0.233333333333
Empty-2	-53.1166666667	-52.85	0.793515385274	0.466666666667	2.0	1.0	6	2.0	0.74161984871	0.466666666667
Empty-2	-53.15	-52.95	0.776530746333	0.766666666667	0.2	1.0	6	1.0	1.04403065089	0.766666666667
Empty-2	-53.0888888889	-52.95	0.831509114446	0.811111111111	-0.666666666667	-1.0	6	-1.0	1.06231752246	0.811111111111
Empty-2	-53.0555555556	-52.85	0.83975305012	0.822222222222	0.2	1.0	6	1.0	1.06684026365	0.822222222222
Empty-2	-53.1388888889	-52.95	0.809778204659	0.805555555556	0.1	1.0	6	1.0	1.06135831908	0.805555555556
Empty-2	-53.1555555556	-53.0	0.807373427759	0.522222222222	-1.6	-1.0	6	0.0	0.803003620674	0.522222222222
Empty-2	-52.8907407407	-53.0	0.301716625015	0.224074074074	0.211111111111	1.0	5	2.0	0.32378293801	0.224074074074
Empty-2	-52.8907407407	-53.0	0.301716625015	0.164814814815	0.566666666667	1.0	5	2.0	0.242373381309	0.164814814815
Empty-2	-53.0018518519	-53.05	0.128316096325	0.103703703704	0.2	1.0	4	2.0	0.15529077995	0.103703703704
Empty-2	-53.0185185185	-53.05	0.100287652125	0.0703703703704	-0.2	-1.0	4	0.0	0.103835894584	0.0703703703704
